epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,880.995,1.41017,3.14567,1.61274,0.28921,0.41949,0.33491,0.21377,1.60002,3.74892,1.88532,0.000331429,0.000331429,0.000331429
2,1728.13,1.42185,2.56359,1.5984,0.40276,0.42197,0.33535,0.19974,1.69293,3.17964,2.01253,0.0006516,0.0006516,0.0006516
3,2572.96,1.43819,2.42706,1.62053,0.32822,0.37338,0.29546,0.17494,1.79615,3.6497,1.99694,0.000958571,0.000958571,0.000958571
4,3414.72,1.42774,2.29977,1.59334,0.3475,0.39728,0.31339,0.17217,1.81843,2.98969,2.08174,0.0009406,0.0009406,0.0009406
5,4257.85,1.39795,2.20366,1.5797,0.45478,0.41164,0.40075,0.2343,1.80345,2.69238,2.06893,0.0009208,0.0009208,0.0009208
6,5096.82,1.36353,2.0937,1.55106,0.44787,0.48787,0.47667,0.30133,1.57968,2.36184,1.83346,0.000901,0.000901,0.000901
7,5936.21,1.34686,2.03602,1.52706,0.48736,0.46186,0.45795,0.31957,1.6575,2.62436,1.93696,0.0008812,0.0008812,0.0008812
8,6784.15,1.31131,1.9385,1.5069,0.50032,0.46197,0.44938,0.31635,1.55697,2.43381,1.81705,0.0008614,0.0008614,0.0008614
9,7625.34,1.30558,1.90954,1.50333,0.57517,0.45118,0.45767,0.31415,1.59109,2.50484,1.86518,0.0008416,0.0008416,0.0008416
10,8466.2,1.27124,1.83668,1.47647,0.59654,0.54474,0.53533,0.37035,1.5,2.1351,1.72519,0.0008218,0.0008218,0.0008218
11,9305.04,1.26217,1.81684,1.46884,0.54595,0.54532,0.5365,0.37371,1.48758,2.10142,1.71353,0.000802,0.000802,0.000802
12,10152.1,1.22429,1.7521,1.44076,0.56377,0.54966,0.55212,0.37891,1.46509,2.03081,1.68033,0.0007822,0.0007822,0.0007822
13,11057.5,1.25198,1.77069,1.46204,0.59694,0.52196,0.54629,0.3877,1.4659,2.04548,1.71237,0.0007624,0.0007624,0.0007624
14,11974.1,1.2278,1.7131,1.43933,0.57229,0.58086,0.58191,0.41901,1.40316,1.84954,1.61388,0.0007426,0.0007426,0.0007426
15,12901.8,1.19957,1.65686,1.41603,0.60715,0.55721,0.58155,0.42001,1.41477,1.88081,1.63574,0.0007228,0.0007228,0.0007228
16,13828.2,1.17292,1.63452,1.40597,0.60704,0.56612,0.58792,0.42036,1.42451,1.84981,1.65245,0.000703,0.000703,0.000703
17,14760.4,1.17749,1.61108,1.40386,0.58215,0.59496,0.58015,0.42137,1.37698,1.82602,1.57555,0.0006832,0.0006832,0.0006832
18,15687.5,1.16186,1.5987,1.38792,0.58259,0.56979,0.58253,0.41975,1.37269,1.77046,1.57884,0.0006634,0.0006634,0.0006634
19,16611.7,1.17278,1.58944,1.39903,0.57348,0.5883,0.58901,0.43915,1.37526,1.87515,1.61381,0.0006436,0.0006436,0.0006436
20,17537.7,1.15452,1.5462,1.37162,0.62278,0.59427,0.62316,0.46626,1.33701,1.70809,1.56152,0.0006238,0.0006238,0.0006238
21,18468.3,1.13735,1.52394,1.36908,0.53969,0.59102,0.58826,0.43024,1.40121,1.86849,1.64262,0.000604,0.000604,0.000604
22,19347.3,1.12102,1.48368,1.35269,0.60119,0.59404,0.60854,0.45309,1.32864,1.69607,1.54707,0.0005842,0.0005842,0.0005842
23,20240.3,1.11358,1.44461,1.34978,0.61252,0.61397,0.61243,0.46061,1.32657,1.80118,1.54204,0.0005644,0.0005644,0.0005644
24,21080.6,1.10682,1.46024,1.34674,0.63544,0.61644,0.62825,0.46559,1.32478,1.6891,1.5243,0.0005446,0.0005446,0.0005446
